,LSOA21 code,IMD score,IMD decile
16879,E01017787,0.541,10
26297,E01027699,0.845,10
30164,E01031773,0.859,10
15376,E01016187,0.859,10
17347,E01018293,0.861,10
15837,E01016676,0.9,10
15852,E01016695,0.921,10
21923,E01023093,0.948,10
15827,E01016664,0.954,10
22616,E01023818,0.958,10
16961,E01017870,1.014,10
12754,E01013427,1.021,10
16869,E01017777,1.031,10
17025,E01017937,1.034,10
22188,E01023372,1.088,10
21700,E01022863,1.102,10
17320,E01018265,1.12,10
30045,E01031646,1.124,10
26951,E01028388,1.13,10
29623,E01031201,1.136,10
22413,E01023608,1.143,10
21006,E01022118,1.148,10
22498,E01023694,1.175,10
22065,E01023244,1.182,10
15864,E01016709,1.191,10
22184,E01023368,1.216,10
16986,E01017896,1.221,10
20627,E01021728,1.249,10
30048,E01031649,1.254,10
15450,E01016267,1.269,10
21557,E01022709,1.273,10
16866,E01017774,1.277,10
21394,E01022530,1.277,10
20966,E01022075,1.29,10
26963,E01028400,1.292,10
17026,E01017938,1.294,10
21702,E01022865,1.303,10
29319,E01030882,1.303,10
27188,E01028645,1.311,10
9631,E01010150,1.363,10
21556,E01022708,1.363,10
22490,E01023686,1.366,10
16854,E01017761,1.383,10
16970,E01017880,1.383,10
15818,E01016655,1.385,10
16780,E01017682,1.409,10
20993,E01022105,1.419,10
28986,E01030542,1.424,10
16980,E01017890,1.431,10
17734,E01018700,1.435,10
16747,E01017647,1.461,10
26215,E01027615,1.465,10
26296,E01027698,1.466,10
16740,E01017639,1.484,10
28962,E01030518,1.49,10
15795,E01016629,1.492,10
29215,E01030776,1.497,10
22269,E01023456,1.501,10
26945,E01028382,1.509,10
17640,E01018603,1.518,10
29247,E01030808,1.528,10
8148,E01008563,1.529,10
15701,E01016533,1.534,10
15806,E01016640,1.542,10
12779,E01013452,1.545,10
25032,E01026359,1.557,10
17309,E01018253,1.559,10
28240,E01029760,1.578,10
16856,E01017763,1.579,10
24503,E01025803,1.58,10
13992,E01014737,1.585,10
15373,E01016182,1.586,10
18424,E01019425,1.589,10
16821,E01017727,1.597,10
13672,E01014397,1.605,10
22615,E01023817,1.605,10
23584,E01024852,1.612,10
30043,E01031644,1.622,10
26927,E01028363,1.628,10
18749,E01019756,1.631,10
30065,E01031666,1.634,10
29303,E01030866,1.644,10
22069,E01023248,1.649,10
26942,E01028379,1.657,10
30120,E01031724,1.658,10
12751,E01013424,1.66,10
28907,E01030463,1.66,10
27234,E01028693,1.661,10
22513,E01023710,1.662,10
28905,E01030461,1.662,10
22179,E01023363,1.676,10
26940,E01028377,1.681,10
21479,E01022624,1.684,10
25918,E01027300,1.684,10
21058,E01022171,1.684,10
15502,E01016322,1.689,10
21243,E01022366,1.69,10
7568,E01007957,1.69,10
16964,E01017873,1.696,10
21366,E01022499,1.705,10
15702,E01016534,1.709,10
22636,E01023839,1.71,10
29318,E01030881,1.712,10
15773,E01016606,1.719,10
17030,E01017942,1.744,10
7539,E01007927,1.745,10
20975,E01022084,1.746,10
28853,E01030408,1.749,10
17292,E01018234,1.753,10
22532,E01023730,1.76,10
27283,E01028745,1.765,10
26298,E01027700,1.766,10
23177,E01024424,1.78,10
27240,E01028699,1.781,10
16775,E01017677,1.784,10
15769,E01016602,1.788,10
28801,E01030353,1.791,10
22464,E01023659,1.791,10
22356,E01023550,1.792,10
19346,E01020380,1.793,10
23552,E01024820,1.793,10
28168,E01029684,1.793,10
12402,E01013060,1.797,10
12750,E01013423,1.81,10
27972,E01029483,1.827,10
29214,E01030775,1.839,10
29324,E01030887,1.842,10
23491,E01024752,1.847,10
7906,E01008309,1.852,10
15112,E01015910,1.853,10
16981,E01017891,1.857,10
14124,E01014878,1.867,10
22506,E01023702,1.868,10
27486,E01028964,1.869,10
17645,E01018608,1.872,10
26281,E01027683,1.872,10
26261,E01027662,1.872,10
17688,E01018652,1.874,10
21619,E01022771,1.876,10
12317,E01012972,1.877,10
31120,E01032826,1.879,10
7569,E01007958,1.881,10
30166,E01031775,1.882,10
16857,E01017764,1.885,10
31010,E01032678,1.886,10
29895,E01031485,1.886,10
22029,E01023207,1.888,10
15770,E01016603,1.892,10
30133,E01031738,1.903,10
21698,E01022861,1.904,10
15794,E01016628,1.904,10
28007,E01029520,1.906,10
9636,E01010155,1.907,10
16982,E01017892,1.914,10
22049,E01023228,1.92,10
30100,E01031703,1.928,10
30087,E01031689,1.929,10
7542,E01007930,1.931,10
16853,E01017760,1.935,10
12314,E01012968,1.937,10
16984,E01017894,1.941,10
15694,E01016526,1.945,10
15110,E01015908,1.946,10
22637,E01023840,1.953,10
7570,E01007959,1.959,10
9651,E01010170,1.963,10
15793,E01016627,1.969,10
22272,E01023459,1.97,10
17611,E01018573,1.979,10
15817,E01016654,1.982,10
13997,E01014742,1.993,10
21718,E01022883,2.0,10
17627,E01018589,2.002,10
15861,E01016706,2.01,10
31145,E01032853,2.014,10
22638,E01023841,2.015,10
22329,E01023520,2.02,10
11123,E01011706,2.022,10
30151,E01031758,2.022,10
12408,E01013066,2.024,10
15394,E01016206,2.024,10
17700,E01018666,2.025,10
27198,E01028656,2.026,10
16844,E01017751,2.03,10
22748,E01023959,2.031,10
13668,E01014393,2.032,10
27223,E01028681,2.035,10
21730,E01022896,2.036,10
26711,E01028137,2.039,10
17360,E01018306,2.045,10
22415,E01023610,2.045,10
24475,E01025773,2.047,10
22293,E01023482,2.047,10
23092,E01024329,2.048,10
26466,E01027880,2.049,10
27322,E01028789,2.052,10
21600,E01022752,2.061,10
12730,E01013402,2.062,10
16724,E01017621,2.063,10
15788,E01016622,2.066,10
16889,E01017797,2.067,10
29367,E01030930,2.069,10
18586,E01019592,2.072,10
19343,E01020377,2.074,10
22267,E01023454,2.076,10
13655,E01014380,2.084,10
24058,E01025341,2.099,10
15765,E01016598,2.101,10
22682,E01023889,2.103,10
22503,E01023699,2.104,10
28950,E01030506,2.109,10
12670,E01013340,2.11,10
17677,E01018641,2.121,10
21689,E01022851,2.122,10
30498,E01032135,2.136,10
9668,E01010188,2.137,10
26240,E01027641,2.146,10
15801,E01016635,2.146,10
15515,E01016335,2.147,10
22106,E01023287,2.15,10
14626,E01015400,2.15,10
22183,E01023367,2.152,10
21692,E01022854,2.155,10
22753,E01023965,2.155,10
28113,E01029629,2.156,10
21000,E01022112,2.162,10
23570,E01024838,2.163,10
15790,E01016624,2.163,10
29335,E01030898,2.165,10
29218,E01030779,2.176,10
22264,E01023451,2.186,10
17644,E01018607,2.187,10
16878,E01017786,2.198,10
29704,E01031287,2.201,10
