LSOA code (2011),Total population: mid 2015 (excluding prisoners)
E01000001,1296.00
E01000002,1156.00
E01000003,1350.00
E01000005,1121.00
E01000006,2040.00
E01000007,2101.00
E01000008,1566.00
E01000009,1775.00
E01000010,3195.00
E01000011,1670.00
E01000012,2023.00
E01000013,1747.00
E01000014,1669.00
E01000015,2372.00
E01000016,1750.00
E01000017,1516.00
E01000018,1791.00
E01000019,1498.00
E01000020,1947.00
E01000021,1682.00
E01000022,1372.00
E01000023,2791.00
E01000024,1535.00
E01000025,1637.00
E01000027,1858.00
E01000028,1629.00
E01000029,1737.00
E01000030,2155.00
E01000031,1716.00
E01000032,1755.00
E01000033,1520.00
E01000034,1502.00
E01000035,1799.00
E01000036,1493.00
E01000037,1931.00
E01000038,1446.00
E01000039,1657.00
E01000040,1711.00
E01000041,1755.00
E01000042,1986.00
E01000043,1516.00
E01000044,1895.00
E01000045,1710.00
E01000046,1963.00
E01000048,1757.00
E01000049,1923.00
E01000050,1933.00
E01000051,1144.00
E01000052,2134.00
E01000053,1670.00
E01000054,1831.00
E01000055,1684.00
E01000056,1666.00
E01000057,1557.00
E01000058,2022.00
E01000059,1635.00
E01000060,1955.00
E01000061,1854.00
E01000062,2228.00
E01000063,1793.00
E01000064,2107.00
E01000065,1692.00
E01000066,2132.00
E01000067,2149.00
E01000068,1523.00
E01000069,1882.00
E01000070,2154.00
E01000071,2541.00
E01000072,2112.00
E01000073,1780.00
E01000074,1610.00
E01000075,1777.00
E01000076,2047.00
E01000077,1487.00
E01000078,1826.00
E01000079,1662.00
E01000080,1651.00
E01000081,1831.00
E01000082,1953.00
E01000083,1888.00
E01000084,1355.00
E01000085,1829.00
E01000086,1383.00
E01000087,1447.00
E01000088,2060.00
E01000089,1879.00
E01000090,1683.00
E01000091,2081.00
E01000092,4485.00
E01000093,1719.00
E01000094,2120.00
E01000095,1871.00
E01000096,1667.00
E01000097,1815.00
E01000098,1814.00
E01000099,2258.00
E01000100,1744.00
E01000101,1545.00
E01000102,1441.00
E01000103,1500.00
E01000104,1811.00
E01000105,2314.00
E01000106,2159.00
E01000107,1719.00
E01000108,1750.00
E01000109,1871.00
E01000110,1491.00
E01000111,1997.00
E01000112,2058.00
E01000113,1703.00
E01000114,2290.00
E01000115,1375.00
E01000116,1737.00
E01000117,1842.00
E01000118,2134.00
E01000119,1702.00
E01000120,1435.00
E01000121,1498.00
E01000122,1462.00
E01000123,1761.00
E01000124,1696.00
E01000125,3196.00
E01000126,2338.00
E01000127,1546.00
E01000128,1921.00
E01000129,1812.00
E01000130,1771.00
E01000131,1819.00
E01000132,1557.00
E01000133,1674.00
E01000134,1743.00
E01000135,1616.00
E01000136,1559.00
E01000137,1756.00
E01000138,1492.00
E01000139,1532.00
E01000140,1836.00
E01000141,2273.00
E01000142,2563.00
E01000143,1467.00
E01000144,1763.00
E01000145,1652.00
E01000146,1814.00
E01000147,1876.00
E01000148,2649.00
E01000150,2246.00
E01000151,1747.00
E01000152,1764.00
E01000153,1867.00
E01000154,1345.00
E01000155,3602.00
E01000156,2097.00
E01000157,1600.00
E01000158,1588.00
E01000159,1828.00
E01000160,1978.00
E01000161,2407.00
E01000162,1683.00
E01000163,1709.00
E01000164,1858.00
E01000165,1892.00
E01000166,1640.00
E01000167,1361.00
E01000168,1614.00
E01000169,1602.00
E01000170,1707.00
E01000171,1999.00
E01000172,1707.00
E01000173,1790.00
E01000174,1875.00
E01000175,1568.00
E01000176,1651.00
E01000177,1746.00
E01000178,1817.00
E01000179,1754.00
E01000180,1718.00
E01000181,1746.00
E01000182,1919.00
E01000183,1502.00
E01000184,1645.00
E01000185,1547.00
E01000186,1680.00
E01000187,1766.00
E01000188,1581.00
E01000189,1481.00
E01000190,1645.00
E01000191,1559.00
E01000192,2022.00
E01000193,1910.00
E01000194,1839.00
E01000195,2007.00
E01000196,2008.00
E01000197,1889.00
E01000198,2065.00
E01000199,1636.00
E01000200,1940.00
E01000201,1582.00
E01000202,1766.00
E01000203,1824.00
E01000204,1737.00
E01000205,1610.00
E01000206,1538.00
E01000207,1572.00
E01000208,1644.00
E01000209,1502.00
E01000210,1571.00
E01000211,2240.00
E01000212,1489.00
E01000213,1405.00
E01000214,1760.00
E01000215,2222.00
E01000216,2082.00
E01000217,1830.00
E01000218,1946.00
E01000219,1982.00
E01000220,2075.00
E01000221,1372.00
E01000222,1733.00
E01000223,1381.00
E01000224,1653.00
E01000225,1979.00
E01000226,1792.00
E01000227,1944.00
E01000228,1518.00
E01000229,1767.00
E01000230,1867.00
E01000231,2003.00
E01000232,1983.00
E01000233,1884.00
E01000234,1819.00
E01000235,1816.00
E01000236,1956.00
E01000237,2138.00
E01000238,2035.00
E01000239,2018.00
E01000240,1751.00
E01000241,1794.00
E01000242,1722.00
E01000243,1891.00
E01000244,1680.00
E01000245,2173.00
E01000246,1546.00
E01000247,1764.00
E01000248,1779.00
E01000249,1522.00
E01000250,2660.00
E01000251,2030.00
E01000252,1719.00
E01000253,1648.00
E01000254,1596.00
E01000255,1400.00
E01000256,1887.00
E01000257,1868.00
E01000258,1767.00
E01000259,2721.00
E01000260,2064.00
E01000261,1681.00
E01000262,2455.00
E01000263,1575.00
E01000264,1816.00
E01000265,2006.00
E01000266,1508.00
E01000267,1538.00
E01000268,1980.00
E01000269,1481.00
E01000270,1517.00
E01000271,1580.00
E01000272,1322.00
E01000273,1547.00
E01000274,1955.00
E01000275,1717.00
E01000276,1494.00
E01000277,1918.00
E01000278,1511.00
E01000279,1511.00
E01000280,1364.00
E01000281,976.00
E01000282,1814.00
E01000283,1405.00
E01000284,1767.00
E01000285,1382.00
E01000286,1670.00
E01000287,1667.00
E01000288,1641.00
E01000289,1907.00
E01000290,1614.00
E01000291,1647.00
E01000292,1571.00
E01000293,1787.00
E01000294,1827.00
E01000295,1731.00
E01000296,1790.00
E01000297,1551.00
E01000298,1932.00
E01000299,1991.00
E01000300,1689.00
E01000301,1520.00
E01000302,2119.00
E01000303,1663.00
E01000304,1672.00
E01000305,1850.00
E01000306,1677.00
E01000307,1640.00
E01000308,1706.00
E01000309,1889.00
E01000310,2093.00
E01000311,1745.00
E01000312,1766.00
E01000313,2149.00
E01000314,1985.00
E01000315,1768.00
E01000316,2475.00
E01000317,1655.00
E01000318,1903.00
E01000319,1601.00
E01000320,1581.00
E01000321,1766.00
E01000322,1844.00
E01000323,2269.00
E01000324,1895.00
E01000325,1630.00
E01000326,1326.00
E01000327,1590.00
E01000328,1506.00
E01000329,1479.00
E01000330,1618.00
E01000331,1611.00
E01000332,1631.00
E01000333,1836.00
E01000334,1636.00
E01000335,2225.00
E01000336,2062.00
E01000337,1743.00
E01000338,1979.00
E01000339,1561.00
E01000340,1524.00
E01000341,1561.00
E01000342,1621.00
E01000343,1587.00
E01000344,1559.00
E01000345,1351.00
E01000346,1685.00
E01000347,1482.00
E01000348,1520.00
E01000349,1654.00
E01000350,1514.00
E01000351,1614.00
E01000352,1697.00
E01000353,1691.00
E01000354,1510.00
E01000355,1630.00
E01000356,1654.00
E01000357,1467.00
E01000358,1683.00
E01000359,1290.00
E01000360,1715.00
E01000361,1609.00
E01000362,1598.00
E01000363,1516.00
E01000364,1607.00
E01000365,1772.00
E01000366,1693.00
E01000367,1739.00
E01000368,1583.00
E01000369,1639.00
E01000370,1628.00
E01000371,1632.00
E01000372,1661.00
E01000373,614.00
E01000374,1610.00
E01000375,1898.00
E01000376,1595.00
E01000377,1502.00
E01000378,2720.00
E01000379,1775.00
E01000380,1708.00
E01000381,1683.00
E01000382,1567.00
E01000383,1507.00
E01000384,1745.00
E01000385,1979.00
E01000386,1537.00
E01000387,1582.00
E01000388,1523.00
E01000389,1759.00
E01000390,1282.00
E01000391,1722.00
E01000392,1877.00
E01000393,1668.00
E01000394,1545.00
E01000395,1446.00
E01000396,1402.00
E01000398,1610.00
E01000399,1609.00
E01000400,1584.00
E01000401,1864.00
E01000402,1548.00
E01000403,2194.00
E01000404,2424.00
E01000405,1463.00
E01000406,1675.00
E01000407,1563.00
E01000408,1804.00
E01000409,1698.00
E01000410,1654.00
E01000411,1428.00
E01000412,1828.00
E01000413,1370.00
E01000414,1817.00
E01000415,1488.00
E01000416,1654.00
E01000417,1764.00
E01000418,2038.00
E01000419,1338.00
E01000420,1576.00
E01000421,1519.00
E01000422,1893.00
E01000423,1702.00
E01000424,1690.00
E01000425,1767.00
E01000426,1656.00
E01000427,2189.00
E01000428,1619.00
E01000429,1656.00
E01000430,2058.00
E01000431,1848.00
E01000432,1813.00
E01000433,1980.00
E01000434,1675.00
E01000435,1407.00
E01000436,1733.00
E01000437,1363.00
E01000438,1713.00
E01000439,1440.00
E01000440,1438.00
E01000441,1644.00
E01000442,1637.00
E01000443,1278.00
E01000444,1696.00
E01000445,1659.00
E01000446,1562.00
E01000447,1789.00
E01000448,1372.00
E01000449,1495.00
E01000450,1865.00
E01000451,1736.00
E01000452,1442.00
E01000453,1507.00
E01000454,1616.00
E01000455,1765.00
E01000456,1492.00
E01000457,2024.00
E01000458,1431.00
E01000459,1847.00
E01000460,1291.00
E01000461,1620.00
E01000462,1734.00
E01000463,1297.00
E01000464,1569.00
E01000465,1699.00
E01000466,1810.00
E01000467,1864.00
E01000468,3085.00
E01000469,1817.00
E01000470,1365.00
E01000471,1586.00
E01000472,1584.00
E01000473,2356.00
E01000474,2234.00
E01000475,2124.00
E01000476,1780.00
E01000477,2251.00
E01000478,1787.00
E01000479,1646.00
E01000480,1789.00
E01000481,1528.00
E01000482,3007.00
E01000483,1853.00
E01000484,1541.00
E01000485,1400.00
E01000486,1643.00
E01000487,1952.00
E01000488,1608.00
E01000489,1493.00
E01000490,1706.00
E01000491,2038.00
E01000492,1337.00
E01000493,1610.00
E01000494,1692.00
E01000495,1615.00
E01000497,1636.00
E01000498,1660.00
E01000499,1669.00
E01000501,1853.00
E01000502,1715.00
E01000503,2018.00
E01000504,1727.00
E01000505,1732.00
E01000506,1855.00
E01000507,1627.00
E01000508,2165.00
E01000509,1518.00
E01000510,1718.00
E01000511,1606.00
E01000512,1856.00
E01000513,1630.00
E01000514,1538.00
E01000515,1875.00
E01000516,1670.00
E01000517,1581.00
E01000518,1668.00
E01000519,1948.00
E01000520,1728.00
E01000521,2322.00
E01000522,1933.00
E01000523,2573.00
E01000524,2750.00
E01000525,2057.00
E01000526,2277.00
E01000527,2144.00
E01000528,1551.00
E01000530,1792.00
E01000531,2150.00
E01000532,1713.00
E01000533,2262.00
E01000534,1695.00
E01000535,2246.00
E01000536,1627.00
E01000538,1478.00
E01000539,1582.00
E01000540,1410.00
E01000541,1427.00
E01000543,1546.00
E01000544,1540.00
